"TABLE_NAME","COMMENTS"
"USER_TAB_COLS","Columns of user's tables, views and clusters"
"ALL_TAB_COLS","Columns of user's tables, views and clusters"
"DBA_TAB_COLS","Columns of user's tables, views and clusters"
"USER_TAB_COLUMNS","Columns of user's tables, views and clusters"
"ALL_TAB_COLUMNS","Columns of user's tables, views and clusters"
"DBA_TAB_COLUMNS","Columns of user's tables, views and clusters"
"USER_TAB_COMMENTS","Comments on the tables and views owned by the user"
"ALL_TAB_COMMENTS","Comments on tables and views accessible to the user"
"DBA_TAB_COMMENTS","Comments on all tables and views in the database"
"USER_TAB_PRIVS","Grants on objects for which the user is the owner, grantor or grantee"
"ALL_TAB_PRIVS","Grants on objects for which the user is the grantor, grantee, owner,
 or an enabled role or PUBLIC is the grantee"
"DBA_TAB_PRIVS","All grants on objects in the database"
"USER_TAB_PRIVS_MADE","All grants on objects owned by the user"
"ALL_TAB_PRIVS_MADE","User's grants and grants on user's objects"
"USER_TAB_PRIVS_RECD","Grants on objects for which the user is the grantee"
"ALL_TAB_PRIVS_RECD","Grants on objects for which the user, PUBLIC or enabled role is the grantee"
"USER_VIEWS","Description of the user's own views"
"ALL_VIEWS","Description of views accessible to the user"
"DBA_VIEWS","Description of all views in the database"
"USER_VIEWS_AE","Description of the user's own views"
"ALL_VIEWS_AE","Description of views accessible to the user"
"DBA_VIEWS_AE","Description of all views in the database"
"USER_CONSTRAINTS","Constraint definitions on user's own tables"
"ALL_CONSTRAINTS","Constraint definitions on accessible tables"
"DBA_CONSTRAINTS","Constraint definitions on all tables"
"USER_LOG_GROUPS","Log group definitions on user's own tables"
"ALL_LOG_GROUPS","Log group definitions on accessible tables"
"DBA_LOG_GROUPS","Log group definitions on all tables"
"USER_CLUSTER_HASH_EXPRESSIONS","Hash functions for the user's hash clusters"
"ALL_CLUSTER_HASH_EXPRESSIONS","Hash functions for all accessible clusters"
"DBA_CLUSTER_HASH_EXPRESSIONS","Hash functions for all clusters"
"USER_UPDATABLE_COLUMNS","Description of updatable columns"
"ALL_UPDATABLE_COLUMNS","Description of all updatable columns"
"DBA_UPDATABLE_COLUMNS","Description of dba updatable columns"
"USER_UNUSED_COL_TABS","User tables with unused columns"
"ALL_UNUSED_COL_TABS","All tables with unused columns accessible to the user"
"DBA_UNUSED_COL_TABS","All tables with unused columns in the database"
"USER_PARTIAL_DROP_TABS","User tables with unused columns"
"ALL_PARTIAL_DROP_TABS","All tables with patially dropped columns accessible to the user"
"DBA_PARTIAL_DROP_TABS","All tables with partially dropped columns in the database"
"DBA_RESUMABLE","Resumable session information in the system"
"USER_RESUMABLE","Resumable session information for current user"
"USER_EDITIONING_VIEWS","Descriptions of the user's own Editioning Views"
"ALL_EDITIONING_VIEWS","Description of Editioning Views accessible to the user"
"DBA_EDITIONING_VIEWS","Description of all Editioning Views in the database"
"USER_EDITIONING_VIEWS_AE","Descriptions of the user's own Editioning Views"
"ALL_EDITIONING_VIEWS_AE","Description of Editioning Views accessible to the user"
"DBA_EDITIONING_VIEWS_AE","Description of all Editioning Views in the database"
"USER_EDITIONING_VIEW_COLS","Relationship between columns of user's Editioning Views and the table columns to which they map"
"ALL_EDITIONING_VIEW_COLS","Relationship between columns of Editioning Views accessible to the user and the table columns to which they map"
"DBA_EDITIONING_VIEW_COLS","Relationship between columns of all Editioning Views in the database and the table columns to which they map"
"USER_EDITIONING_VIEW_COLS_AE","Relationship between columns of user's Editioning Views and the table columns to which they map"
"ALL_EDITIONING_VIEW_COLS_AE","Relationship between columns of Editioning Views accessible to the user and the table columns to which they map"
"DBA_EDITIONING_VIEW_COLS_AE","Relationship between columns of all Editioning Views in the database and the table columns to which they map"
"ALL_EDITIONS","Describes all editions in the database"
"DBA_EDITIONS","Describes all editions in the database"
"ALL_EDITION_COMMENTS","Describes comments on all editions in the database"
"DBA_EDITION_COMMENTS","Describes comments on all editions in the database"
"USER_LIBRARIES","Description of the user's own libraries"
"ALL_LIBRARIES","Description of libraries accessible to the user"
"DBA_LIBRARIES","Description of all libraries in the database"
"USER_PROCEDURES","Description of the user functions/procedures/packages/types/triggers"
"ALL_PROCEDURES","Functions/procedures/packages/types/triggers available to the user"
"DBA_PROCEDURES","Description of the dba functions/procedures/packages/types/triggers"
"ALL_STORED_SETTINGS","Parameter settings for objects accessible to the user"
"USER_STORED_SETTINGS","Parameter settings for objects owned by the user"
"DBA_STORED_SETTINGS","Parameter settings for all objects"
"USER_PLSQL_OBJECT_SETTINGS","Compiler settings of stored objects owned by the user"
"ALL_PLSQL_OBJECT_SETTINGS","Compiler settings of stored objects accessible to the user"
"DBA_PLSQL_OBJECT_SETTINGS","Compiler settings of all objects in the database"
"ALL_ARGUMENTS","Arguments in object accessible to the user"
"USER_ARGUMENTS","Arguments in object accessible to the user"
"DBA_ARGUMENTS","All arguments for objects in the database"
"USER_ASSEMBLIES","Description of the user's own assemblies"
"ALL_ASSEMBLIES","Description of assemblies accessible to the user"
"DBA_ASSEMBLIES","Description of all assemblies in the database"
"USER_IDENTIFIERS","Identifiers in stored objects accessible to the user"
"ALL_IDENTIFIERS","All identifiers in stored objects accessible to the user"
"DBA_IDENTIFIERS","Identifiers in stored objects accessible to sys"
"USER_DB_LINKS","Database links owned by the user"
"ALL_DB_LINKS","Database links accessible to the user"
"DBA_DB_LINKS","All database links in the database"
"USER_RECYCLEBIN","User view of his recyclebin"
"DBA_RECYCLEBIN","Description of the Recyclebin view accessible to the user"
"DBA_2PC_PENDING","info about distributed transactions awaiting recovery"
"DBA_2PC_NEIGHBORS","information about incoming and outgoing connections for pending transactions"
"DBA_PROFILES","Display all profiles and their limits"
"USER_RESOURCE_LIMITS","Display resource limit of the user"
"USER_PASSWORD_LIMITS","Display password limits of the user"
"USER_USERS","Information about the current user"
"ALL_USERS","Information about all users of the database"
"DBA_USERS","Information about all users of the database"
"ALL_DEF_AUDIT_OPTS","Auditing options for newly created objects"
"USER_OBJ_AUDIT_OPTS","Auditing options for user's own tables and views with atleast one option set"
"DBA_OBJ_AUDIT_OPTS","Auditing options for all tables and views with atleast one option set"
"DBA_STMT_AUDIT_OPTS","Describes current system auditing options across the system and by user"
"DBA_PRIV_AUDIT_OPTS","Describes current system privileges being audited across the system and by user"
"DBA_AUDIT_TRAIL","All audit trail entries"
"USER_AUDIT_TRAIL","Audit trail entries relevant to the user"
"DBA_AUDIT_SESSION","All audit trail records concerning CONNECT and DISCONNECT"
"USER_AUDIT_SESSION","All audit trail records concerning CONNECT and DISCONNECT"
"DBA_AUDIT_STATEMENT","Audit trail records concerning  grant, revoke, audit, noaudit and alter system"
"USER_AUDIT_STATEMENT","Audit trail records concerning  grant, revoke, audit, noaudit and alter system"
"DBA_AUDIT_OBJECT","Audit trail records for statements concerning objects, specifically: table, cluster, view, index, sequence,  [public] database link, [public] synonym, procedure, trigger, rollback segment, tablespace, role, user"
"USER_AUDIT_OBJECT","Audit trail records for statements concerning objects, specifically: table, cluster, view, index, sequence,  [public] database link, [public] synonym, procedure, trigger, rollback segment, tablespace, role, user"
"DBA_AUDIT_EXISTS","Lists audit trail entries produced by AUDIT NOT EXISTS and AUDIT EXISTS"
"DBA_ROLES","All Roles which exist in the database"
"USER_SYS_PRIVS","System privileges granted to current user"
"DBA_SYS_PRIVS","System privileges granted to users and roles"
"USER_PROXIES","Description of connections the user is allowed to proxy"
"DBA_PROXIES","Information about all proxy connections"
"DBA_CONNECT_ROLE_GRANTEES","Information regarding which users are granted CONNECT"
"USER_TYPES","Description of the user's own types"
"ALL_TYPES","Description of types accessible to the user"
"DBA_TYPES","Description of all types in the database"
"USER_COLL_TYPES","Description of the user's own named collection types"
"ALL_COLL_TYPES","Description of named collection types accessible to the user"
"DBA_COLL_TYPES","Description of all named collection types in the database"
"USER_TYPE_ATTRS","Description of attributes of the user's own types"
"ALL_TYPE_ATTRS","Description of attributes of types accessible to the user"
"DBA_TYPE_ATTRS","Description of attributes of all types in the database"
"USER_TYPE_METHODS","Description of methods of the user's own types"
"ALL_TYPE_METHODS","Description of methods of types accessible to the user"
"DBA_TYPE_METHODS","Description of methods of all types in the database"
"USER_METHOD_PARAMS","Description of method parameters of the user's own types"
"ALL_METHOD_PARAMS","Description of method parameters of types accessible
to the user"
"DBA_METHOD_PARAMS","Description of method parameters of all types in the database"
"USER_METHOD_RESULTS","Description of method results of the user's own types"
"ALL_METHOD_RESULTS","Description of method results of types accessible
to the user"
"DBA_METHOD_RESULTS","Description of method results of all types in the database"
"USER_SQLJ_TYPES","Description of the user's own types"
"ALL_SQLJ_TYPES","Description of types accessible to the user"
"DBA_SQLJ_TYPES","Description of all types in the database"
"USER_TYPE_VERSIONS","Description of each version of the user's types"
"ALL_TYPE_VERSIONS","Description of each type version accessible to the user"
"DBA_TYPE_VERSIONS","Description of each type version in the database"
"USER_PENDING_CONV_TABLES","All user's tables which are not upgraded to the latest type version"
"ALL_PENDING_CONV_TABLES","All tables accessible to the user which are not upgraded to the latest type version"
"DBA_PENDING_CONV_TABLES","All tables which are not upgraded to the latest type version in the database"
"USER_SQLJ_TYPE_ATTRS","Description of attributes of the user's own types"
"ALL_SQLJ_TYPE_ATTRS","Description of attributes of types accessible to the user"
"DBA_SQLJ_TYPE_ATTRS","Description of attributes of all types in the database"
"USER_SQLJ_TYPE_METHODS","Description of methods of the user's own types"
"ALL_SQLJ_TYPE_METHODS","Description of methods of types accessible to the user"
"DBA_SQLJ_TYPE_METHODS","Description of methods of all types in the database"
"DBA_OLDIMAGE_COLUMNS","Gives all object tables and columns in old (8.0) image format"
"USER_OLDIMAGE_COLUMNS","Gives all object tables and columns in old (8.0) image format"
"USER_NESTED_TABLE_COLS","Columns of nested tables"
"ALL_NESTED_TABLE_COLS","Columns of nested tables"
"DBA_NESTED_TABLE_COLS","Columns of nested tables"
"ALL_DIRECTORIES","Description of all directories accessible to the user"
"DBA_DIRECTORIES","Description of all directories"
"USER_REFS","Description of the user's own REF columns contained in the user's own tables"
"ALL_REFS","Description of REF columns contained in tables accessible to the user"
"DBA_REFS","Description of REF columns contained in all tables"
"USER_NESTED_TABLES","Description of nested tables contained in the user's own tables"
"ALL_NESTED_TABLES","Description of nested tables in tables accessible to the user"
"DBA_NESTED_TABLES","Description of nested tables contained in all tables"
"USER_VARRAYS","Description of varrays contained in the user's own tables"
"ALL_VARRAYS","Description of varrays in tables accessible to the user"
"DBA_VARRAYS","Description of varrays in tables accessible to the user"
"USER_OBJ_COLATTRS","Description of object columns and attributes contained in tables owned by the user"
"ALL_OBJ_COLATTRS","Description of object columns and attributes contained in the tables accessible to the user"
"DBA_OBJ_COLATTRS","Description of object columns and attributes contained in all tables in the database"
"USER_CONS_OBJ_COLUMNS","List of types an object column or attribute is constrained to in the tables owned by the user"
"ALL_CONS_OBJ_COLUMNS","List of types an object column or attribute is constrained to in the tables accessible to the user"
"DBA_CONS_OBJ_COLUMNS","List of types an object column or attribute is constrained to in all tables in the database"
"DBA_OPERATORS","All operators"
"ALL_OPERATORS","All operators available to the user"
"USER_OPERATORS","All user operators"
"DBA_OPBINDINGS","All operator binding functiosn or methods"
"USER_OPBINDINGS","All binding functions or methods on operators defined by the user"
"ALL_OPBINDINGS","All binding functions for operators available to the user"
"DBA_OPANCILLARY","All ancillary operators"
"USER_OPANCILLARY","All ancillary opertors defined by user"
"ALL_OPANCILLARY","All ancillary operators available to the user"
"DBA_OPARGUMENTS","All operator arguments"
"USER_OPARGUMENTS","All operator arguments of operators defined by user"
"ALL_OPARGUMENTS","All arguments of the operators available to the user"
"DBA_OPERATOR_COMMENTS","Comments for user-defined operators"
"USER_OPERATOR_COMMENTS","Comments for user-defined operators"
"ALL_OPERATOR_COMMENTS","Comments for user-defined operators"
"DBA_INDEXTYPES","All indextypes"
"USER_INDEXTYPES","All user indextypes"
"ALL_INDEXTYPES","All indextypes available to the user"
"DBA_INDEXTYPE_COMMENTS","Comments for user-defined indextypes"
"USER_INDEXTYPE_COMMENTS","Comments for user-defined indextypes"
"ALL_INDEXTYPE_COMMENTS","Comments for user-defined indextypes"
"DBA_INDEXTYPE_ARRAYTYPES","All array types specified by the indextype"
"USER_INDEXTYPE_ARRAYTYPES","All array types specified by the indextype"
"ALL_INDEXTYPE_ARRAYTYPES","All array types specified by the indextype"
"DBA_INDEXTYPE_OPERATORS","All indextype operators"
"USER_INDEXTYPE_OPERATORS","All user indextype operators"
"ALL_INDEXTYPE_OPERATORS","All operators available to the user"
"DBA_SECONDARY_OBJECTS","All secondary objects for domain indexes"
"USER_SECONDARY_OBJECTS","All secondary objects for domain indexes"
"ALL_SECONDARY_OBJECTS","All secondary objects for domain indexes"
"ALL_CHANGE_SOURCES","Change Data Capture change sources"
"ALL_CHANGE_SETS","Change Data Capture change sets"
"ALL_CHANGE_TABLES","Change Data Capture change tables"
"ALL_CHANGE_PROPAGATIONS","Change Data Capture propagations "
"ALL_CHANGE_PROPAGATION_SETS","Change Data Capture propagated change set"
"DBA_SOURCE_TABLES","Source tables available for Change Data Capture"
"USER_SOURCE_TABLES","Source tables available for Change Data Capture"
"DBA_PUBLISHED_COLUMNS","Source columns available for Change Data Capture"
"USER_PUBLISHED_COLUMNS","Source columns available for Change Data Capture"
"DBA_SUBSCRIPTIONS","Change Data Capture subscriptions"
"USER_SUBSCRIPTIONS","Change Data Capture subscriptions"
"DBA_SUBSCRIBED_TABLES","Change Data Capture subscribed tables"
"USER_SUBSCRIBED_TABLES","Change Data Capture subscribed tables"
"DBA_SUBSCRIBED_COLUMNS","Change Data Capture subscribed columns"
"USER_SUBSCRIBED_COLUMNS","Change Data Capture subscribed columns"
"ALL_SUMDELTA","Direct path load entries accessible to the user"
"ALL_SUMMAP","mapping entries of transaction ID and commit SCN accessible to the user"
"DBA_EXP_OBJECTS","Objects that have been incrementally exported"
"DBA_EXP_VERSION","Version number of the last export session"
"DBA_EXP_FILES","Description of export files"
"USER_EXTERNAL_TABLES","Description of the user's own external tables"
"ALL_EXTERNAL_TABLES","Description of the external tables accessible to the user"
"DBA_EXTERNAL_TABLES","Description of the external tables accessible to the DBA"
"USER_EXTERNAL_LOCATIONS","Description of the user's external tables locations"
"ALL_EXTERNAL_LOCATIONS","Description of the external tables locations accessible to the user"
"DBA_EXTERNAL_LOCATIONS","Description of the external tables locations accessible to the DBA"
"USER_MINING_MODELS","Description of the user's own models"
"ALL_MINING_MODELS","Description of the models accessible to the user"
"DBA_MINING_MODELS","Description of all the models in the database"
"USER_MINING_MODEL_ATTRIBUTES","Description of the user's own model attributes"
"ALL_MINING_MODEL_ATTRIBUTES","Description of all the model attributes accessible to the user"
"DBA_MINING_MODEL_ATTRIBUTES","Description of all the model attributes in the database"
"USER_MINING_MODEL_SETTINGS","Description of the user's own model settings"
"ALL_MINING_MODEL_SETTINGS","Description of all the settings accessible to the user"
"DBA_MINING_MODEL_SETTINGS","Description of all the model settings in the database"
"DBA_MINING_MODEL_TABLES","Description of all the mining model tables in the system"
"USER_TAB_COL_STATISTICS","Columns of user's tables, views and clusters"
"ALL_TAB_COL_STATISTICS","Columns of user's tables, views and clusters"
"DBA_TAB_COL_STATISTICS","Columns of user's tables, views and clusters"
"USER_TAB_HISTOGRAMS","Histograms on columns of user's tables"
"ALL_TAB_HISTOGRAMS","Histograms on columns of all tables visible to user"
"DBA_TAB_HISTOGRAMS","Histograms on columns of all tables"
"DBA_ASSOCIATIONS","All associations"
"USER_ASSOCIATIONS","All assocations defined by the user"
"ALL_ASSOCIATIONS","All associations available to the user"
"DBA_USTATS","All statistics collected on either tables or indexes"
"USER_USTATS","All statistics on tables or indexes owned by the user"
"ALL_USTATS","All statistics"
"USER_TAB_MODIFICATIONS","Information regarding modifications to tables"
"ALL_TAB_MODIFICATIONS","Information regarding modifications to tables"
"DBA_TAB_MODIFICATIONS","Information regarding modifications to tables"
"DBA_OPTSTAT_OPERATIONS","History of statistics operations performed"
"ALL_TAB_STATS_HISTORY","History of table statistics modifications"
"DBA_TAB_STATS_HISTORY","History of table statistics modifications"
"USER_TAB_STATS_HISTORY","History of table statistics modifications"
"ALL_TAB_STAT_PREFS","Statistics preferences for tables"
"DBA_TAB_STAT_PREFS","Statistics preferences for tables"
"USER_TAB_STAT_PREFS","Statistics preferences for tables"
"ALL_TAB_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"DBA_TAB_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_TAB_PENDING_STATS","History of table statistics modifications"
"ALL_IND_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"DBA_IND_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_IND_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"ALL_COL_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"DBA_COL_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_COL_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"ALL_TAB_HISTGRM_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"DBA_TAB_HISTGRM_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"USER_TAB_HISTGRM_PENDING_STATS","Pending statistics of tables, partitions, and subpartitions"
"DBA_DIMENSIONS","Description of the dimension objects accessible to the DBA"
"ALL_DIMENSIONS","Description of the dimension objects accessible to the DBA"
"USER_DIMENSIONS","Description of the dimension objects accessible to the DBA"
"DBA_DIM_LEVELS","Description of dimension levels visible to DBA"
"ALL_DIM_LEVELS","Description of dimension levels visible to DBA"
"USER_DIM_LEVELS","Description of dimension levels visible to DBA"
"DBA_DIM_LEVEL_KEY","Representations of columns of a dimension level"
"ALL_DIM_LEVEL_KEY","Representations of columns of a dimension level"
"USER_DIM_LEVEL_KEY","Representations of columns of a dimension level"
"DBA_DIM_ATTRIBUTES","Representation of the relationship between a dimension level and
 a functionally dependent column"
"ALL_DIM_ATTRIBUTES","Representation of the relationship between a dimension level and
 a functionally dependent column"
"USER_DIM_ATTRIBUTES","Representation of the relationship between a dimension level and
 a functionally dependent column"
"DBA_DIM_HIERARCHIES","Representation of a dimension hierarchy"
"ALL_DIM_HIERARCHIES","Representation of a dimension hierarchy"
"USER_DIM_HIERARCHIES","Representation of a dimension hierarchy"
"DBA_DIM_CHILD_OF","Representaion of a 1:n hierarchical relationship between a pair of levels in
 a dimension"
"ALL_DIM_CHILD_OF","Representaion of a 1:n hierarchical relationship between a pair of levels in
 a dimension"
"USER_DIM_CHILD_OF","Representaion of a 1:n hierarchical relationship between a pair of levels in
 a dimension"
"DBA_DIM_JOIN_KEY","Representation of a join between two dimension tables. "
"ALL_DIM_JOIN_KEY","Representation of a join between two dimension tables. "
"USER_DIM_JOIN_KEY","Representation of a join between two dimension tables. "
"ALL_SUMMARIES","Description of the summaries accessible to the user"
"USER_SUMMARIES","Description of the summaries created by the user"
"DBA_SUMMARIES","Description of the summaries accessible to dba"
"ALL_MVIEW_ANALYSIS","Description of the materialized views accessible to the user"
"USER_MVIEW_ANALYSIS","Description of the materialized views created by the user"
"DBA_MVIEW_ANALYSIS","Description of the materialized views accessible to dba"
"DBA_MVIEW_AGGREGATES","Description of the materialized view aggregates accessible to dba"
"USER_MVIEW_AGGREGATES","Description of the materialized view aggregates created by the user"
"ALL_MVIEW_AGGREGATES","Description of the materialized view aggregates accessible to the user"
"ALL_MVIEW_DETAIL_RELATIONS","Description of the materialized view detail tables accessible to the user"
"USER_MVIEW_DETAIL_RELATIONS","Description of the materialized view detail tables of the materialized
views created by the user"
"DBA_MVIEW_DETAIL_RELATIONS","Description of the materialized view detail tables accessible to dba"
"DBA_MVIEW_KEYS","Description of the columns that appear in the GROUP BY
list of a materialized view accessible to dba"
"ALL_MVIEW_KEYS","Description of the columns that appear in the GROUP BY
list of a materialized view accessible to the user"
"USER_MVIEW_KEYS","Description of the columns that appear in the GROUP BY
list of a materialized view  created by the user"
"DBA_MVIEW_JOINS","Description of a join between two columns in the
WHERE clause of a materialized view accessible to dba"
"ALL_MVIEW_JOINS","Description of a join between two columns in the
WHERE clause of a materialized view accessible to the user"
"USER_MVIEW_JOINS","Description of a join between two columns in the
WHERE clause of a materialized view created by the user"
"DBA_MVIEW_COMMENTS","Comments on all materialized views in the database"
"ALL_MVIEW_COMMENTS","Comments on materialized views accessible to the user"
"USER_MVIEW_COMMENTS","Comments on materialized views owned by the user"
"ALL_REFRESH_DEPENDENCIES","Description of the detail tables that materialized views depend on for
refresh"
"DBA_REWRITE_EQUIVALENCES","Description of rewrite equivalence accessible to DBA"
"ALL_REWRITE_EQUIVALENCES","Description of all rewrite equivalence accessible to the user"
"USER_REWRITE_EQUIVALENCES","Description of all rewrite equivalence owned by the user"
"DBA_MVIEW_DETAIL_PARTITION","Freshness information of all PCT materialized views in the database"
"ALL_MVIEW_DETAIL_PARTITION","Freshness information of all PCT materialized views in the database"
"USER_MVIEW_DETAIL_PARTITION","Freshness information of all PCT materialized views in the database"
"DBA_MVIEW_DETAIL_SUBPARTITION","Freshness information of all PCT materialized views in the database"
"ALL_MVIEW_DETAIL_SUBPARTITION","Freshness information of all PCT materialized views in the database"
"USER_MVIEW_DETAIL_SUBPARTITION","Freshness information of all PCT materialized views in the database"
"USER_TSTZ_TAB_COLS","Columns of user's tables, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"ALL_TSTZ_TAB_COLS","Columns of user's tables, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"DBA_TSTZ_TAB_COLS","Columns of all tables in the database, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"USER_TSTZ_TABLES","Description of the user's own tables, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"ALL_TSTZ_TABLES","Description of tables accessible to the user, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"DBA_TSTZ_TABLES","Description of all tables in the database, which have column(s) defined on timestamp with time zone data type or ADT type containing attribute(s) of timestamp with time zone data type"
"USER_ERRORS","Current errors on stored objects owned by the user"
"ALL_ERRORS","Current errors on stored objects that user is allowed to create"
"DBA_ERRORS","Current errors on all stored objects in the database"
"USER_ERRORS_AE","Current errors on stored objects owned by the user"
"ALL_ERRORS_AE","Current errors on stored objects that user is allowed to create"
"DBA_ERRORS_AE","Current errors on all stored objects in the database"
"USER_SOURCE_AE","Source of stored objects accessible to the user"
"ALL_SOURCE_AE","Current source on stored objects that user is allowed to create"
"DBA_SOURCE_AE","Source of all stored objects in the database"
"USER_SOURCE","Source of stored objects accessible to the user"
"ALL_SOURCE","Current source on stored objects that user is allowed to create"
"DBA_SOURCE","Source of all stored objects in the database"
"USER_TRIGGERS","Triggers having FOLLOWS or PRECEDES ordering owned by the user"
"ALL_TRIGGERS","Triggers accessible to the current user"
"DBA_TRIGGERS","All triggers in the database"
"USER_INTERNAL_TRIGGERS","Description of the internal triggers on the user's own tables"
"ALL_INTERNAL_TRIGGERS","Description of the internal triggers on the tables accessible to the user"
"DBA_INTERNAL_TRIGGERS","Description of the internal triggers on all tables in the database"
"USER_TRIGGER_COLS","Column usage in user's triggers"
"ALL_TRIGGER_COLS","Column usage in user's triggers or in triggers on user's tables"
"DBA_TRIGGER_COLS","Column usage in all triggers"
"USER_DEPENDENCIES","Dependencies to and from a users objects"
"ALL_DEPENDENCIES","Dependencies to and from objects accessible to the user"
"DBA_DEPENDENCIES","Dependencies to and from objects"
"DBA_OBJECT_SIZE","Sizes, in bytes, of various pl/sql objects"
